Column1;Column2;Column3
Государственная регистрация смерти Электронный способ получения услуги Получения услуги через МФЦ Традиционный способ получения услуги;;МФЦ
Государственная регистрация смерти Электронный способ получения услуги Получения услуги через МФЦ Традиционный способ получения услуги;;Офлайн
Государственная регистрация установления отцовства Электронный способ получения услуги Получения услуги через МФЦ Традиционный способ получения услуги;;МФЦ
Государственная регистрация установления отцовства Электронный способ получения услуги Получения услуги через МФЦ Традиционный способ получения услуги;;Офлайн
Государственная регистрация усыновления (удочерения) Электронный способ получения услуги Получения услуги через МФЦ Традиционный способ получения услуги;"Общее описание Если вы усыновили (удочерили) ребенка, необходимо оформить на него свидетельство о государственной регистрации усыновления (удочерения). Для этого нужно подать заявление в отдел ЗАГС. Для удобства вы можете обратиться в ЗАГС по месту жительства или по месту вынесения решения суда. Полное наименование: Государственная регистрация актов гражданского состояния органами, осуществляющими государственную регистрацию актов гражданского состояния на территории Российской Федерации (государственная регистрация усыновления (удочерения)) Результат предоставления Составление в Едином государственном реестре записей актов гражданского состояния (ЕГР ЗАГС) соответствующей записи акта гражданского состояния и выдача заявителю свидетельства об усыновлении (удочерении) по форме либо извещения об отказе в государственной регистрации акта гражданского состояния по форме. Срок предоставления В день обращения. Стоимость Бесплатно. Заявители I. Получатели государственной услуги: Граждане Российской Федерации, Иностранные граждане, Лица без гражданства, являющиеся усыновителями (одним из усыновителей) ребенка, в случаях: если решение суда об установлении усыновления ребенка, вступившее в законную силу, вынесено судом Санкт‑Петербурга; если усыновители (один из усыновителей) имеет регистрацию по месту жительства в Санкт‑Петербурге. II. Заявители, обращающиеся за получением услуги: Лица, имеющие право на получение государственной услуги в соответствии с п. I. Уполномоченные представители лиц, имеющих право на получение государственной услуги, на основании нотариально удостоверенной доверенности или доверенности, приравненной к ней в соответствии с требованиями гражданского законодательства. Порядок действий Порядок действий заявителя Эта услуга предоставляется посредством Единого портала gosuslugi.ru. При возникновении проблем или вопросов рекомендуем обращаться в службу техподдержки Единого портала по тел. 8 (800) 100-70-10 или 115 (короткий номер для мобильных телефонов). Нажимает на кнопку «Подать заявление». Выполняет авторизацию на Едином портале через ЕСИА. Заполняет заявление в электронном виде, внеся в него данные необходимых документов. Записывается на посещение в орган ЗАГС, выбирает из предложенного списка удобный отдел ЗАГС, дату и время его посещения. Отправляет заявление и ждет результатов проверки. В личный кабинет на Едином портале придёт подтверждение брони на посещение выбранного отдела ЗАГС. В выбранное время посещает орган ЗАГС. Надо взять с собой оригиналы документов, которые были указаны в заявлении. Ребенка брать с собой не нужно. Получает свидетельство о государственной регистрации усыновления (удочерения). Основания для отказа в предоставлении государственной услуги: государственная регистрация акта гражданского состояния противоречит Федеральному закону от 15.11.1997 №143‑ФЗ «Об актах гражданского состояния» (Федеральный закон); документы, которые представлены заявителем, не соответствуют требованиям, предъявляемым к ним Федеральным законом и иными нормативными правовыми актами; специалист органа, предоставляющего государственную услугу, не вправе производить государственную регистрацию актов гражданского состояния в отношении себя, своего супруга, его и своих родственников (родителей, детей, внуков, дедушек, бабушек, родных братьев и сестер) и совершать иные юридически значимые действия. Государственная регистрация актов гражданского состояния и совершение иных юридически значимых действий в таких случаях производятся другим работником органа, предоставляющего государственную услугу, или в другом органе, предоставляющем государственную услугу; в предоставлении государственной услуги отказывается в случае отсутствия документов, необходимых для предоставления государственной услуги и подлежащих представлению заявителем. Документы Документы, представляемые заявителем При подаче заявления на Едином портале прикладывать скан-образы документов не надо, их надо представить в орган ЗАГС. I. Обязательные к представлению документы: Решение суда об усыновлении ребенка, вступившее в законную силу и являющееся основанием для государственной регистрации усыновления. Документы, удостоверяющие личности (личность) усыновителей (усыновителя). Свидетельство о рождении усыновляемого ребенка (при его наличии). II. Дополнительные документы (в случае обращения доверенного лица заявителя/в случае обращения представителя заявителя): Документы, удостоверяющие личность и полномочия лица, заявляющего о государственной регистрации усыновления (в случае подачи заявления о государственной регистрации усыновления уполномоченным лицом). Оснований для отказа в приеме документов, необходимых для предоставления государственной услуги, действующим законодательством не предусмотрено. Документы, выдаваемые заявителю Извещение об отказе в государственной регистрации акта гражданского состояния по форме. Свидетельство об усыновлении (удочерении) по форме. Свидетельство о рождении по форме. Документы выдаются в органе ЗАГС. Организации, участвующие в предоставлении Организации, принимающие решение по предоставлению Отделы записи актов гражданского состояния районов Санкт-Петербурга Порядок обжалования Заявители имеют право подать жалобу на решение и (или) действие (бездействие) органа, предоставляющего государственную услугу, и (или) его специалистов при предоставлении государственной услуги (жалоба). Жалоба на решения и (или) действия (бездействие), принятые в ходе предоставления государственной услуги специалистом органа, предоставляющего государственную услугу, направляется соответственно руководителю данного органа, его заместителям. Жалоба на решения и действия (бездействие), принятые руководителем органа, предоставляющего государственную услугу, подается в орган исполнительной власти субъекта Российской Федерации, в компетенцию которого входит организация деятельности по государственной регистрации актов гражданского состояния, в Министерство юстиции Российской Федерации или его территориальные органы либо в суд. Информацию о порядке подачи и рассмотрения жалобы заявитель может получить: на официальных сайтах в сети «Интернет» органа исполнительной власти субъекта Российской Федерации, органа, предоставляющего государственную услугу; на Едином портале; по справочным телефонам; при личном приеме. Порядок досудебного (внесудебного) обжалования решений и действий (бездействия) органа, предоставляющего государственную услугу, а также его должностных лиц регулируется следующими нормативными правовыми актами: Федеральный закон от 27.07.2010 №210‑ФЗ «Об организации предоставления государственных и муниципальных услуг»; постановление Правительства Российской Федерации от 16.08.2012 №840 «О порядке подачи и рассмотрения жалоб на решения и действия (бездействие) федеральных органов исполнительной власти и их должностных лиц, федеральных государственных служащих, должностных лиц государственных внебюджетных фондов Российской Федерации, государственных корпораций, наделенных в соответствии с федеральными законами полномочиями по предоставлению государственных услуг в установленной сфере деятельности, и их должностных лиц, организаций, предусмотренных частью 1.1 статьи 16 Федерального закона «Об организации предоставления государственных и муниципальных услуг», и их работников, а также многофункциональных центров предоставления государственных и муниципальных услуг и их работников». В подразделении Санкт‑Петербургского государственного казенного учреждения «Многофункциональный центр предоставления государственных и муниципальных услуг» (МФЦ) заявителям предоставляется информация о порядке подачи заявлений о заключении брака, расторжении брака, получения повторных свидетельств о государственной регистрации актов гражданского состояния и иных документов, подтверждающих наличие или отсутствие факта государственной регистрации акта гражданского состояния. В МФЦ для заявителей предусмотрена возможность непосредственной подачи заявлений о заключении брака, расторжении брака, получения повторных свидетельств о государственной регистрации актов гражданского состояния и иных документов, подтверждающих наличие или отсутствие факта государственной регистрации акта гражданского состояния. В случае передачи МФЦ полномочий по предоставлению государственных услуг по государственной регистрации отдельных актов гражданского состояния в соответствии с пунктами 2.2, 2.3 статьи 4 Федерального закона от 15.11.1997 №143‑ФЗ «Об актах гражданского состояния» ими производится государственная регистрация рождения и смерти в ЕГР ЗАГС в соответствии с пунктами 72 и 78 административного регламента. Порядок передачи МФЦ записей актов гражданского состояния о рождении и смерти, составленных на бумажном носителе, а также документов, послуживших основаниями для государственной регистрации рождения и смерти, в органы ЗАГС утвержден приказом Министерства юстиции Российской Федерации от 26.09.2018 №194. Порядок исправления допущенных опечаток и ошибок в выданных в результате предоставления государственной услуги документах осуществляется в соответствии с главой 9 Федерального закона от 15.11.1997 №143‑ФЗ «Об актах гражданского состояния». Законодательство Федеральное законодательство Федеральный закон от 15.11.1997 №143-ФЗ «Об актах гражданского состояния» Федеральный закон от 23.06.2016 №219-ФЗ «О внесении изменений в Федеральный закон «Об актах гражданского состояния» Федеральный закон от 29.12.2017 №438-ФЗ «О внесении изменений в отдельные законодательные акты Российской Федерации в части государственной регистрации некоторых актов гражданского состояния в многофункциональных центрах предоставления государственных ... Федеральный закон от 29.12.2017 №472-ФЗ «О внесении изменений в Федеральный закон «Об актах гражданского состояния» и Федеральный закон «О внесении изменений в Федеральный закон «Об актах гражданского состояния» Постановление Правительства РФ от 07.07.2017 №807 «Об утверждении Правил использования усиленных квалифицированных электронных подписей при ведении Единого государственного реестра записей актов гражданского состояния и переводе в электронную форму ... Распоряжение Правительства Российской Федерации от 31.12.2016 №2934-р «Об утверждении перечня сведений, включаемых в запись акта гражданского состояния, конвертируемую (преобразуемую) в форму электронного документа» Приказ Министерства юстиции Российской Федерации от 01.10.2018 №200 «Об утверждении форм справок и иных документов, подтверждающих наличие или отсутствие фактов государственной регистрации актов гражданского состояния, и Правил заполнения форм справок ... Приказ Министерства юстиции Российской Федерации от 01.10.2018 №201 «Об утверждении форм заявлений о государственной регистрации актов гражданского состояния и правил заполнения форм заявлений о государственной регистрации актов гражданского состояния» Приказ Министерства юстиции Российской Федерации от 01.10.2018 №202 «Об утверждении форм записи актов гражданского состояния и Правил заполнения записей актов гражданского состояния» Приказ Министерства юстиции Российской Федерации от 13.08.2018 №167 «Об утверждении форм бланков свидетельств о государственной регистрации актов гражданского состояния и Правил заполнения форм бланков свидетельств о государственной регистрации актов ... Административный регламент Административный регламент предоставления государственной услуги по государственной регистрации актов гражданского состояния органами, осуществляющими государственную регистрацию актов гражданского состояния на территории Российской Федерации Типовые вопросы Возможно ли усыновление гражданина старше 18 лет? В соответствии с п. 2 ст. 124 Семейного кодекса Российской Федерации усыновление допускается в отношении несовершеннолетних детей. Усыновление ребенка происходит только с его согласия или нет? Согласие усыновляемого требуется, если на момент усыновления ему исполнилось 10 лет. Уникальный реестровый номер 7800000010000020794 Последнее обновление информации : 09.04.2021";Онлайн
Государственная регистрация усыновления (удочерения) Электронный способ получения услуги Получения услуги через МФЦ Традиционный способ получения услуги;;МФЦ
Государственная регистрация усыновления (удочерения) Электронный способ получения услуги Получения услуги через МФЦ Традиционный способ получения услуги;;Офлайн
Государственная регистрация юридических лиц, индивидуальных предпринимателей и фермерских хозяйств Электронный способ получения услуги Получения услуги через МФЦ Традиционный способ получения услуги;;Онлайн
Государственная регистрация юридических лиц, индивидуальных предпринимателей и фермерских хозяйств Электронный способ получения услуги Получения услуги через МФЦ Традиционный способ получения услуги;;МФЦ
Государственная регистрация юридических лиц, индивидуальных предпринимателей и фермерских хозяйств Электронный способ получения услуги Получения услуги через МФЦ Традиционный способ получения услуги;;Офлайн
Государственная социальная помощь малоимущим гражданам Электронный способ получения услуги Получения услуги через МФЦ Традиционный способ получения услуги;;Онлайн
Государственная социальная помощь малоимущим гражданам Электронный способ получения услуги Получения услуги через МФЦ Традиционный способ получения услуги;;МФЦ
Государственная социальная помощь малоимущим гражданам Электронный способ получения услуги Получения услуги через МФЦ Традиционный способ получения услуги;;Офлайн
Государственная экспертиза условий труда Электронный способ получения услуги Получения услуги через МФЦ Традиционный способ получения услуги;;МФЦ
Государственная экспертиза условий труда Электронный способ получения услуги Получения услуги через МФЦ Традиционный способ получения услуги;;Офлайн
Государственный кадастровый учет и (или) государственная регистрация прав на недвижимое имущество Электронный способ получения услуги Получения услуги через МФЦ Традиционный способ получения услуги;"Общее описание С 1 января 2017 года все данные из кадастра недвижимости (ГКН) и реестра прав на недвижимое имущество (ЕГРП) были объединены в Единый государственный реестр недвижимости (ЕГРН). Свидетельства о праве собственности на недвижимость и кадастровые паспорта, которые выдавали раньше, отменили. Все сделки с недвижимостью необходимо регистрировать в Росреестре. Если вы приобрели квартиру или дом, необходимо зарегистрировать свои права (внести данные о переходе прав собственности на жилье от продавца к покупателю в единую базу данных). В результате вы получите выписку из ЕГРН, которая содержит основные характеристики недвижимости (например, кадастровую стоимость или форму собственности), а также данные о ее законных владельцах. Государственная регистрация права в ЕГРН может быть оспорена только в суде. Подать заявление на государственную регистрацию прав можно на официальном сайте Росреестра. Полное наименование: Государственная услуга по государственному кадастровому учету и (или) государственной регистрации прав на недвижимое имущество Срок предоставления В режиме реального времени. Стоимость За государственную регистрацию прав взимается государственная пошлина, размеры, сроки и порядок уплаты которой установлены ст. 333.33 Налогового кодекса Российской Федерации. Информацию о размерах государственной пошлины за совершение регистрационных действий см. здесь. Наименование получателя платежа: УФК по г. Санкт-Петербургу (Управление Федеральной службы государственной регистрации, кадастра и картографии по Санкт-Петербургу) ИНН: 7801267400 КПП: 784201001 Счет: 03100643000000017200 Банк получателя: Северо-Западное ГУ Банка России//УФК по г. Санкт-Петербургу г. Санкт-Петербург КБК: 32110807020018000110 (для предоставления услуги через МФЦ) ОКТМО: 40911000 (по всем районам города) БИК: 014030106 Единый казначейский счет: 40102810945370000005 Наименование платежа: Государственная пошлина за государственную регистрацию прав на недвижимое имущество и сделок с ним С 01.01.2021 государственная пошлина за регистрацию ранее возникшего права не взимается. Оплатить государственную пошлину за государственную регистрацию прав возможно в терминалах оплаты, размещенных в МФЦ. Документы Документы, выдаваемые заявителю Расписка-уведомление о приеме (регистрации) заявления Организации, участвующие в предоставлении Организации, принимающие решение по предоставлению Управление Федеральной службы государственной регистрации, кадастра и картографии по Санкт-Петербургу Другие организации, участвующие в предоставлении Управление Федеральной службы государственной регистрации, кадастра и картографии по Санкт-Петербургу Порядок обжалования Заинтересованное лицо вправе в судебном и досудебном (внесудебном) порядке обжаловать действия (бездействие) и решения, осуществляемые (принятые) в ходе предоставления государственной услуги. Предметом досудебного (внесудебного) обжалования могут являться нарушение прав и законных интересов заинтересованных лиц, противоправные решения, действия (бездействие) должностных лиц, сотрудников, нарушение положений законодательства, некорректное поведение или нарушение служебной этики в ходе предоставления государственной услуги. Заинтересованное лицо может обратиться с жалобой (претензией) в том числе в следующих случаях: нарушение срока регистрации заявления заявителя о предоставлении государственной услуги; нарушение срока предоставления государственной услуги; требование у заявителя документов, не предусмотренных нормативными правовыми актами Российской Федерации, для предоставления государственной услуги; отказ в приеме документов, предоставление которых предусмотрено нормативными правовыми актами Российской Федерации для предоставления государственной услуги, у заявителя; отказ в предоставлении государственной услуги, если основания отказа не предусмотрены федеральными законами и принятыми в соответствии с ними иными нормативными правовыми актами Российской Федерации; затребование с заявителя при предоставлении государственной услуги платы, не предусмотренной нормативными правовыми актами Российской Федерации; отказ Росреестра, его должностного лица в исправлении допущенных опечаток и ошибок в выданных в результате предоставления государственной услуги документах либо нарушение установленного срока таких исправлений. Основанием для начала процедуры досудебного (внесудебного) обжалования является поступление в письменной форме на бумажном носителе или в электронной форме жалобы (претензии) на действия (бездействие) и решения, осуществляемые (принятые) в ходе предоставления государственной. Жалоба (претензия) может быть направлена по почте, через многофункциональный центр, с использованием сети Интернет, официального сайта Росреестра в сети Интернет, Единого портала государственных услуг, по телефону Ведомственного центра телефонного обслуживания Росреестра, а также может быть принята при личном приеме заявителя. Жалоба (претензия) должна содержать: наименование органа, предоставляющего государственную услугу, должностного лица, сотрудника, предоставляющего государственную услугу, решения и действия (бездействие) которых обжалуются; фамилию, имя, отчество (последнее — при наличии), сведения о месте жительства заявителя — физического лица либо наименование, сведения о местонахождении заявителя — юридического лица, а также номер (номера) контактного телефона, адрес (адреса) электронной почты (при наличии) и почтовый адрес, по которым должен быть направлен ответ заявителю; сведения об обжалуемых решениях и действиях (бездействии) Росреестра, его должностного лица, сотрудника; доводы, на основании которых заинтересованное лицо не согласно с решением и действием (бездействием) Росреестра, его должностного лица, сотрудника. Заинтересованным лицом могут быть представлены документы (при наличии), подтверждающие доводы заявителя, либо их копии. Заинтересованное лицо имеет право на получение информации и документов, необходимых для обоснования и рассмотрения жалобы (претензии), если иное не предусмотрено законом. Заинтересованные лица могут обжаловать действия или бездействие: должностных лиц, сотрудников территориального отдела территориального органа Росреестра — руководителю территориального отдела территориального органа Росреестра, руководителю территориального органа Росреестра; должностных лиц, сотрудников центрального аппарата территориального органа Росреестра — руководителю территориального органа Росреестра; руководителя территориального отдела территориального органа Росреестра — руководителю территориального органа Росреестра, руководителю Росреестра; руководителя территориального органа Росреестра — руководителю Росреестра; должностных лиц, сотрудников центрального аппарата Росреестра — курирующему соответствующую сферу деятельности заместителю руководителя Росреестра; заместителя руководителя Росреестра — руководителю Росреестра; руководителя Росреестра — в Минэкономразвития России. Жалоба (претензия), поступившая в орган, осуществляющий регистрацию прав, подлежит рассмотрению должностным лицом, наделенным полномочиями по рассмотрению жалоб (претензий), в течение 15 рабочих дней со дня ее регистрации, а в случае обжалования отказа органа, осуществляющего регистрацию прав, должностного лица органа, осуществляющего регистрацию прав, в приеме документов у заявителя либо в исправлении допущенных опечаток и ошибок или в случае обжалования нарушения установленного срока таких исправлений — в течение 5 рабочих дней со дня ее регистрации. По результатам рассмотрения жалобы (претензии) принимается одно из следующих решений: удовлетворить жалобу (претензию); отказать в удовлетворении жалобы (претензии). Не позднее дня, следующего за днем принятия решения заявителю в письменной форме и, по желанию заявителя, в электронной форме направляется мотивированный ответ о результатах рассмотрения жалобы. В случае установления в ходе или по результатам рассмотрения жалобы (претензии) признаков состава административного правонарушения или преступления должностное лицо, наделенное полномочиями по рассмотрению жалоб (претензий), незамедлительно направляет имеющиеся материалы в органы прокуратуры. Законодательство Федеральное законодательство Налоговый кодекс Российской Федерации (часть вторая) от 05.08.2000 №117-ФЗ Федеральный закон от 30.12.2004 №214-ФЗ «Об участии в долевом строительстве многоквартирных домов и иных объектов недвижимости и о внесении изменений в некоторые законодательные акты Российской Федерации» Федеральный закон от 16.07.1998 №102-ФЗ «Об ипотеке (залоге недвижимости)» Федеральный закон от 13.07.2015 №218-ФЗ «О государственной регистрации недвижимости» Приказ Федеральной службы государственной регистрации, кадастра и картографии от 19.08.2020 №П/0310 «Об утверждении отдельных форм заявлений в сфере государственного кадастрового учета и государственной регистрации прав, требований к их заполнению, к ... Административный регламент Административный регламент Федеральной службы государственной регистрации, кадастра и картографии по предоставлению государственной услуги по государственной регистрации прав на недвижимое имущество Типовые вопросы Как происходит изменение сведений об отнесении жилого помещения к определенному виду жилых помещений? Сведения об отнесении жилого помещения к определенному виду жилых помещений специализированного жилищного фонда, к жилым помещениям наемного дома социального использования или наемного дома коммерческого использования относятся к дополнительным сведениям государственного кадастра недвижимости и подлежат изменению в порядке межведомственного информационного взаимодействия. В соответствии с п.п. 19 ч. 1 ст. 32 Федерального закона от 13.07.2015 №218‑ФЗ «О государственной регистрации недвижимости» органы государственной власти и органы местного самоуправления в случае принятия ими решения об отнесении жилого помещения к определенному виду жилых помещений специализированного жилищного фонда, к жилым помещениям наемного дома социального использования или наемного дома коммерческого использования обязаны направлять такие документы в орган регистрации прав в порядке межведомственного взаимодействия. Последнее обновление информации : 11.06.2021";Онлайн
